Transaction Date,Product Ref,StoreCode,Cust-ID,Qty,UnitPrice,DiscountRate,TotalRevenue,Channel Used
2023-12-04,p041,S007 ,C0038,3,79.97,10%,$215.92,Wholesale
"Oct 02, 2023",p064,S005 ,C0028,2,131.72,5%,$250.27,web
24/09/2023,p098,S038 ,C0025,7,287.55,0%,$2012.85,in-store
2023-08-13,p077,S024 ,C0063,8,349.0,15%,$2373.20,web
2023-04-08,p073,S029 ,C0005,5,407.18,0%,€2035.9,in-store
21/11/2023,p043,S013 ,C0033,4,406.27,15%,€1381.32,in-store
"Sep 19, 2023",p056,S034 ,C0061,2,326.8,15%,555.56 USD,in-store
"Feb 01, 2023",p058,S039 ,C0096,7,490.98,0%,€3436.86,in-store
2023-09-23,p074,S036 ,C0026,2,470.86,0%,€941.72,in-store
"Dec 10, 2023",p014,S049 ,C0077,2,411.03,5%,$780.96,web
23/12/2023,p034,S019 ,C0032,8,203.56,10%,$1465.63,online 
05/05/2023,p067,S039 ,C0072,7,327.66,5%,$2178.94,web
"Apr 16, 2023",p081,S015 ,C0018,5,425.52,0%,€2127.6,online 
"Apr 20, 2023",p007,S001 ,C0063,1,335.52,10%,€301.97,web
"Dec 31, 2023",p036,S010 ,C0072,5,93.19,15%,$396.06,in-store
2023-09-16,p012,S011 ,C0059,1,373.32,0%,373.32 USD,web
2023-11-19,p027,S049 ,C0091,5,108.19,10%,$486.86,Wholesale
2023-11-18,p081,S045 ,C0074,1,362.11,15%,307.79 USD,Wholesale
2023-04-18,p078,S039 ,C0018,3,446.17,5%,€1271.58,online 
24/06/2023,p029,S001 ,C0065,6,271.38,0%,1628.28 USD,in-store
"Nov 11, 2023",p039,S013 ,C0013,1,461.25,15%,$392.06,Wholesale
"May 17, 2023",p016,S013 ,C0088,7,23.39,10%,$147.36,Wholesale
2023-10-22,p033,S003 ,C0001,1,100.96,0%,$100.96,Wholesale
2023-09-06,p034,S041 ,C0088,4,208.73,5%,€793.17,in-store
10/01/2023,p070,S037 ,C0036,2,44.77,10%,$80.59,web
27/02/2023,p016,S038 ,C0093,4,458.73,5%,€1743.17,web
13/10/2023,p027,S038 ,C0079,2,255.37,15%,434.13 USD,online 
"Nov 18, 2023",p067,S048 ,C0065,1,119.06,10%,$107.15,online 
14/09/2023,p050,S003 ,C0013,5,246.61,0%,1233.05 USD,online 
08/02/2023,p008,S017 ,C0079,8,355.66,15%,€2418.49,online 
2023-11-20,p068,S035 ,C0018,7,160.97,10%,€1014.11,Wholesale
2023-06-19,p072,S008 ,C0069,8,272.99,5%,€2074.72,in-store
30/10/2023,p045,S032 ,C0027,5,235.78,15%,1002.07 USD,Wholesale
"Aug 21, 2023",p074,S018 ,C0028,7,351.47,10%,2214.26 USD,Wholesale
"May 21, 2023",p064,S002 ,C0099,2,78.97,10%,€142.15,Wholesale
2023-11-12,p009,S012 ,C0036,2,454.16,10%,$817.49,online 
17/12/2023,p045,S009 ,C0004,6,87.51,5%,€498.81,in-store
"Mar 10, 2023",p036,S029 ,C0099,3,323.04,10%,872.21 USD,online 
"Mar 04, 2023",p033,S031 ,C0006,3,140.38,10%,$379.03,web
18/02/2023,p024,S035 ,C0032,7,361.86,0%,€2533.02,online 
2023-08-10,p025,S015 ,C0055,6,225.51,5%,€1285.41,Wholesale
2023-05-24,p098,S031 ,C0021,2,416.88,15%,€708.7,in-store
2023-07-05,p035,S018 ,C0054,2,425.33,10%,765.59 USD,Wholesale
2023-12-17,p020,S001 ,C0052,5,354.24,5%,€1682.64,online 
2023-06-20,p009,S018 ,C0088,3,110.85,15%,282.67 USD,in-store
04/09/2023,p020,S037 ,C0047,7,251.43,5%,€1672.01,web
21/08/2023,p096,S004 ,C0061,5,56.26,5%,267.24 USD,online 
02/04/2023,p067,S019 ,C0080,3,415.79,10%,$1122.63,web
03/02/2023,p042,S037 ,C0004,4,65.07,10%,$234.25,online 
2023-05-12,p094,S020 ,C0077,8,127.28,15%,$865.50,online 
2023-02-25,p043,S001 ,C0082,3,316.01,15%,805.83 USD,web
"Aug 06, 2023",p051,S009 ,C0099,3,294.07,15%,$749.88,Wholesale
"Jul 22, 2023",p024,S025 ,C0035,8,68.58,15%,€466.34,in-store
"Jun 10, 2023",p069,S036 ,C0088,8,85.53,5%,$650.03,online 
24/06/2023,p034,S033 ,C0021,3,459.52,15%,1171.78 USD,in-store
2023-05-08,p092,S028 ,C0010,2,225.58,0%,451.16 USD,Wholesale
2023-07-09,p061,S049 ,C0022,3,77.83,10%,$210.14,in-store
09/09/2023,p062,S012 ,C0079,7,150.95,5%,1003.82 USD,online 
2023-01-11,p043,S048 ,C0035,8,452.96,10%,3261.31 USD,Wholesale
2023-09-16,p029,S026 ,C0025,8,198.45,0%,€1587.6,Wholesale
18/08/2023,p019,S037 ,C0099,3,117.37,10%,316.9 USD,Wholesale
"May 23, 2023",p067,S004 ,C0076,8,390.48,5%,$2967.65,Wholesale
24/06/2023,p045,S020 ,C0007,1,265.1,0%,$265.10,Wholesale
"Dec 10, 2023",p061,S039 ,C0065,7,491.76,0%,$3442.32,online 
12/05/2023,p008,S026 ,C0094,1,157.02,10%,141.32 USD,in-store
25/12/2023,p082,S026 ,C0001,2,384.55,5%,730.64 USD,in-store
"Feb 20, 2023",p058,S012 ,C0002,2,29.7,0%,€59.4,online 
"Mar 24, 2023",p020,S026 ,C0100,3,314.0,15%,€800.7,Wholesale
"Jan 04, 2023",p033,S035 ,C0002,2,117.39,10%,€211.3,in-store
07/05/2023,p060,S016 ,C0004,2,46.1,0%,$92.20,web
"Jun 06, 2023",p072,S022 ,C0057,4,47.09,10%,$169.52,web
2023-08-14,p063,S027 ,C0037,8,190.93,10%,$1374.70,web
07/01/2023,p016,S047 ,C0081,2,327.45,5%,$622.15,web
2023-07-17,p072,S004 ,C0029,3,294.31,0%,$882.93,online 
"May 04, 2023",p087,S005 ,C0052,7,370.15,10%,$2331.94,online 
"Sep 06, 2023",p019,S002 ,C0022,1,366.11,0%,366.11 USD,online 
2023-08-10,p039,S045 ,C0077,2,147.03,15%,€249.95,online 
"Feb 13, 2023",p027,S043 ,C0066,1,159.07,5%,€151.12,online 
"Oct 16, 2023",p054,S050 ,C0035,7,234.62,0%,1642.34 USD,in-store
"May 27, 2023",p064,S041 ,C0095,7,102.26,5%,$680.03,in-store
07/06/2023,p054,S012 ,C0100,1,280.35,10%,252.32 USD,online 
2023-08-28,p051,S047 ,C0064,7,323.88,5%,2153.8 USD,in-store
2023-01-17,p040,S022 ,C0017,4,177.14,5%,$673.13,in-store
2023-12-22,p050,S034 ,C0087,5,395.85,10%,1781.33 USD,in-store
2023-01-23,p071,S004 ,C0072,3,179.63,15%,€458.06,online 
"Dec 04, 2023",p086,S028 ,C0067,3,187.89,0%,563.67 USD,web
2023-01-31,p020,S018 ,C0084,6,442.78,5%,2523.85 USD,online 
28/09/2023,p040,S037 ,C0058,8,193.09,5%,1467.48 USD,in-store
25/03/2023,p036,S014 ,C0013,4,391.3,5%,€1486.94,online 
08/10/2023,p032,S028 ,C0091,8,249.41,10%,1795.75 USD,in-store
"Mar 09, 2023",p049,S047 ,C0060,4,58.0,0%,€232.0,Wholesale
12/11/2023,p072,S025 ,C0012,4,460.19,5%,$1748.72,Wholesale
21/07/2023,p029,S033 ,C0091,7,90.25,5%,€600.16,online 
2023-10-07,p025,S019 ,C0070,6,381.02,5%,€2171.81,online 
2023-10-07,p016,S019 ,C0037,2,32.79,10%,59.02 USD,web
08/07/2023,p017,S004 ,C0026,1,381.66,5%,$362.58,Wholesale
2023-02-15,p069,S013 ,C0071,8,348.08,5%,€2645.41,in-store
"Feb 08, 2023",p003,S014 ,C0043,3,357.87,10%,€966.25,in-store
03/12/2023,p009,S013 ,C0089,1,113.68,0%,$113.68,Wholesale
"Jan 17, 2023",p005,S040 ,C0050,8,427.3,15%,2905.64 USD,web
2023-10-25,p080,S039 ,C0003,7,29.59,15%,176.06 USD,web
2023-06-10,p041,S016 ,C0003,3,142.78,0%,$428.34,in-store
2023-01-22,p049,S014 ,C0049,8,165.14,0%,$1321.12,web
"May 21, 2023",p003,S025 ,C0005,7,236.07,0%,€1652.49,online 
30/12/2023,p043,S038 ,C0022,5,445.26,10%,$2003.67,in-store
2023-04-18,p086,S013 ,C0044,2,171.43,0%,€342.86,web
2023-09-01,p092,S033 ,C0043,1,270.76,10%,243.68 USD,in-store
2023-05-21,p095,S009 ,C0035,3,103.57,0%,$310.71,web
"Jan 18, 2023",p091,S028 ,C0011,4,30.59,15%,$104.01,in-store
"Feb 11, 2023",p082,S032 ,C0008,2,93.2,0%,$186.40,in-store
2023-07-03,p029,S037 ,C0025,3,218.32,10%,$589.46,in-store
2023-10-25,p076,S042 ,C0013,8,321.03,5%,€2439.83,Wholesale
08/08/2023,p027,S027 ,C0059,5,359.07,0%,$1795.35,Wholesale
2023-04-28,p079,S014 ,C0079,4,481.19,0%,1924.76 USD,in-store
"Aug 15, 2023",p045,S028 ,C0033,3,46.0,15%,117.3 USD,Wholesale
"Sep 12, 2023",p060,S025 ,C0031,3,291.16,0%,€873.48,online 
2023-03-09,p024,S037 ,C0072,7,68.9,0%,482.3 USD,web
01/02/2023,p027,S045 ,C0024,5,286.25,10%,€1288.12,web
2023-11-05,p044,S026 ,C0055,4,155.83,15%,$529.82,web
"Mar 23, 2023",p008,S036 ,C0068,1,398.44,10%,$358.60,online 
"Nov 14, 2023",p065,S038 ,C0025,8,148.23,15%,$1007.96,Wholesale
"Jan 02, 2023",p019,S036 ,C0100,7,225.0,5%,€1496.25,online 
"Oct 16, 2023",p015,S022 ,C0003,5,257.41,0%,$1287.05,in-store
"Dec 08, 2023",p015,S030 ,C0010,5,468.15,5%,2223.71 USD,online 
2023-08-07,p078,S014 ,C0051,1,225.53,5%,214.25 USD,Wholesale
2023-03-07,p063,S036 ,C0005,6,402.42,10%,$2173.07,web
"Jun 02, 2023",p046,S039 ,C0095,4,332.42,5%,€1263.2,in-store
23/07/2023,p041,S024 ,C0021,1,91.97,5%,87.37 USD,Wholesale
31/08/2023,p005,S029 ,C0024,4,487.55,0%,1950.2 USD,online 
2023-09-14,p069,S010 ,C0004,6,83.53,5%,$476.12,Wholesale
2023-12-06,p020,S013 ,C0089,2,459.43,0%,$918.86,in-store
2023-06-26,p077,S014 ,C0031,6,21.21,10%,€114.53,online 
28/01/2023,p052,S015 ,C0094,4,146.75,0%,€587.0,online 
"Nov 03, 2023",p022,S033 ,C0079,1,375.19,15%,318.91 USD,in-store
03/02/2023,p006,S042 ,C0079,5,200.24,15%,$851.02,in-store
"Mar 23, 2023",p076,S050 ,C0021,6,452.45,15%,€2307.49,Wholesale
"Jan 02, 2023",p087,S018 ,C0094,8,145.82,0%,$1166.56,in-store
2023-05-28,p017,S039 ,C0050,8,403.13,10%,€2902.54,online 
2023-02-19,p033,S007 ,C0001,8,68.14,0%,545.12 USD,web
"Dec 08, 2023",p058,S042 ,C0018,4,314.32,5%,€1194.42,in-store
2023-03-20,p091,S025 ,C0052,1,348.45,0%,$348.45,Wholesale
2023-12-03,p094,S030 ,C0094,1,126.64,5%,120.31 USD,Wholesale
2023-05-04,p048,S038 ,C0049,7,119.62,15%,$711.74,in-store
04/04/2023,p062,S014 ,C0051,2,31.18,10%,$56.12,Wholesale
15/11/2023,p028,S047 ,C0093,3,238.0,5%,€678.3,online 
2023-07-03,p030,S017 ,C0039,8,75.19,15%,€511.29,online 
2023-06-15,p038,S005 ,C0001,3,308.42,15%,€786.47,online 
2023-04-08,p019,S035 ,C0094,7,21.26,15%,€126.5,in-store
"May 16, 2023",p027,S050 ,C0020,5,384.83,5%,€1827.94,online 
"Apr 08, 2023",p023,S036 ,C0079,1,198.3,10%,$178.47,in-store
"Jun 15, 2023",p044,S018 ,C0069,7,31.12,0%,$217.84,in-store
17/10/2023,p089,S036 ,C0076,5,127.0,15%,539.75 USD,Wholesale
"Apr 28, 2023",p048,S025 ,C0078,7,368.03,5%,€2447.4,online 
"Mar 07, 2023",p064,S022 ,C0093,8,475.56,10%,€3424.03,web
"Mar 15, 2023",p008,S029 ,C0012,4,496.76,5%,1887.69 USD,web
"Jun 19, 2023",p054,S013 ,C0035,7,198.67,15%,$1182.09,in-store
23/01/2023,p059,S040 ,C0054,1,55.95,5%,€53.15,web
"Jun 15, 2023",p041,S043 ,C0083,7,106.79,15%,$635.40,Wholesale
"Apr 14, 2023",p056,S006 ,C0085,8,489.39,0%,3915.12 USD,web
2023-01-11,p065,S004 ,C0072,4,476.34,10%,€1714.82,in-store
2023-05-04,p052,S014 ,C0094,3,312.88,15%,797.84 USD,in-store
2023-06-25,p057,S039 ,C0052,1,57.52,10%,51.77 USD,Wholesale
2023-02-04,p026,S036 ,C0072,4,445.73,0%,1782.92 USD,in-store
06/07/2023,p023,S001 ,C0029,5,453.1,0%,€2265.5,web
"Jan 12, 2023",p039,S024 ,C0009,1,377.54,5%,358.66 USD,web
05/08/2023,p068,S034 ,C0008,5,324.36,5%,1540.71 USD,web
"Feb 28, 2023",p097,S010 ,C0005,5,68.68,15%,291.89 USD,web
"Aug 25, 2023",p005,S018 ,C0094,3,279.62,10%,€754.97,online 
"Aug 09, 2023",p083,S039 ,C0078,4,26.27,15%,€89.32,web
27/01/2023,p005,S025 ,C0056,5,215.81,15%,€917.19,online 
2023-07-21,p050,S034 ,C0034,1,269.67,10%,$242.70,in-store
2023-04-09,p003,S040 ,C0070,5,196.67,10%,$885.01,Wholesale
22/02/2023,p080,S034 ,C0059,1,101.68,10%,€91.51,web
08/07/2023,p087,S044 ,C0009,6,321.08,15%,€1637.51,Wholesale
2023-04-19,p083,S019 ,C0046,6,117.55,10%,$634.77,Wholesale
03/04/2023,p030,S028 ,C0077,6,394.42,5%,2248.19 USD,in-store
18/07/2023,p001,S002 ,C0060,7,470.79,0%,3295.53 USD,online 
27/04/2023,p031,S018 ,C0020,8,72.88,0%,$583.04,Wholesale
2023-04-27,p027,S048 ,C0032,7,164.32,15%,€977.7,in-store
09/08/2023,p033,S003 ,C0074,7,349.37,0%,€2445.59,in-store
2023-04-08,p090,S047 ,C0054,3,286.79,0%,$860.37,web
"Jul 27, 2023",p092,S040 ,C0045,2,157.51,15%,€267.77,online 
2023-07-04,p076,S023 ,C0026,4,156.35,0%,$625.40,web
2023-02-18,p064,S002 ,C0001,2,389.74,10%,701.53 USD,in-store
"Aug 28, 2023",p091,S022 ,C0021,6,224.59,10%,€1212.79,in-store
"Dec 31, 2023",p037,S020 ,C0052,7,250.67,10%,$1579.22,in-store
"Oct 20, 2023",p024,S013 ,C0074,8,191.39,15%,€1301.45,Wholesale
05/08/2023,p051,S020 ,C0041,2,436.61,5%,$829.56,in-store
10/04/2023,p071,S006 ,C0086,3,174.37,0%,$523.11,Wholesale
"Oct 15, 2023",p017,S010 ,C0056,2,293.94,15%,$499.70,web
22/10/2023,p091,S005 ,C0062,8,438.74,10%,$3158.93,in-store
26/11/2023,p014,S003 ,C0087,5,293.86,15%,$1248.91,online 
02/01/2023,p083,S040 ,C0011,6,381.64,15%,1946.36 USD,Wholesale
23/01/2023,p011,S031 ,C0100,6,147.06,15%,750.01 USD,in-store
"Oct 13, 2023",p022,S002 ,C0036,6,468.25,5%,€2669.03,Wholesale
"Aug 20, 2023",p070,S043 ,C0006,4,179.15,15%,€609.11,in-store
2023-11-26,p021,S036 ,C0095,3,49.61,10%,133.95 USD,online 
2023-07-25,p073,S046 ,C0039,5,478.66,10%,2153.97 USD,in-store
"Oct 19, 2023",p026,S043 ,C0068,5,150.62,5%,715.44 USD,web
25/05/2023,p087,S049 ,C0009,5,94.57,0%,$472.85,web
2023-03-09,p003,S014 ,C0030,5,338.32,5%,€1607.02,online 
2023-10-06,p045,S012 ,C0037,7,290.89,5%,€1934.42,in-store
2023-01-14,p022,S018 ,C0056,5,448.98,0%,€2244.9,online 
"May 02, 2023",p066,S020 ,C0090,3,380.47,5%,1084.34 USD,in-store
"Aug 15, 2023",p039,S042 ,C0092,4,323.59,15%,1100.21 USD,Wholesale
2023-11-12,p031,S024 ,C0002,4,319.42,10%,€1149.91,online 
"Jul 09, 2023",p036,S049 ,C0088,5,448.41,0%,$2242.05,in-store
"Dec 26, 2023",p052,S034 ,C0041,7,398.01,10%,€2507.46,online 
20/03/2023,p070,S032 ,C0088,1,479.6,10%,$431.64,Wholesale
2023-04-13,p067,S019 ,C0077,5,285.12,10%,1283.04 USD,Wholesale
2023-10-10,p097,S003 ,C0026,1,66.76,10%,$60.08,online 
"Jun 17, 2023",p059,S038 ,C0042,7,143.13,0%,€1001.91,Wholesale
2023-12-24,p096,S012 ,C0034,2,427.41,15%,€726.6,in-store
29/06/2023,p024,S028 ,C0030,5,426.36,5%,2025.21 USD,web
27/08/2023,p091,S034 ,C0077,4,46.06,10%,€165.82,online 
2023-03-16,p016,S003 ,C0081,6,83.56,10%,451.22 USD,in-store
10/01/2023,p002,S030 ,C0061,3,290.15,0%,€870.45,online 
2023-02-14,p028,S047 ,C0093,6,384.79,0%,$2308.74,Wholesale
"Jan 22, 2023",p087,S010 ,C0078,8,296.6,10%,€2135.52,web
26/11/2023,p088,S036 ,C0052,1,320.41,10%,$288.37,Wholesale
2023-04-04,p064,S013 ,C0077,7,369.16,10%,$2325.71,Wholesale
20/08/2023,p043,S029 ,C0038,4,215.38,5%,€818.44,in-store
27/08/2023,p088,S007 ,C0069,3,443.05,5%,€1262.69,online 
28/03/2023,p026,S030 ,C0029,3,127.9,10%,€345.33,web
"Mar 13, 2023",p087,S045 ,C0099,2,407.44,10%,€733.39,web
06/07/2023,p058,S034 ,C0052,5,170.32,15%,$723.86,Wholesale
01/11/2023,p056,S032 ,C0057,5,362.98,15%,€1542.66,in-store
2023-05-01,p091,S010 ,C0056,4,40.3,0%,€161.2,web
2023-11-01,p025,S019 ,C0019,6,223.61,10%,$1207.49,online 
21/10/2023,p016,S029 ,C0053,8,137.26,0%,€1098.08,web
2023-07-11,p025,S039 ,C0085,6,110.36,15%,$562.84,online 
20/07/2023,p079,S023 ,C0090,5,375.6,10%,€1690.2,Wholesale
"Aug 19, 2023",p030,S042 ,C0089,2,353.51,15%,600.97 USD,in-store
"Jan 17, 2023",p074,S034 ,C0028,6,497.41,0%,€2984.46,Wholesale
16/08/2023,p074,S008 ,C0039,8,356.23,15%,2422.36 USD,in-store
2023-01-23,p052,S027 ,C0015,3,261.55,10%,€706.19,web
2023-02-10,p043,S038 ,C0028,7,368.73,5%,$2452.05,online 
03/03/2023,p078,S029 ,C0007,8,489.07,5%,$3716.93,Wholesale
26/06/2023,p079,S031 ,C0013,5,44.96,15%,191.08 USD,Wholesale
"May 14, 2023",p087,S014 ,C0067,6,313.03,0%,€1878.18,web
03/09/2023,p046,S022 ,C0021,7,262.1,0%,$1834.70,in-store
2023-03-03,p019,S008 ,C0088,7,342.09,15%,€2035.44,Wholesale
"Feb 24, 2023",p039,S028 ,C0097,7,402.89,5%,2679.22 USD,web
"Nov 05, 2023",p021,S039 ,C0040,6,273.24,5%,€1557.47,online 
"Dec 11, 2023",p079,S047 ,C0071,3,369.4,0%,$1108.20,in-store
16/12/2023,p019,S019 ,C0019,3,196.03,15%,$499.88,in-store
"Nov 10, 2023",p087,S037 ,C0090,8,377.1,15%,$2564.28,Wholesale
2023-08-31,p024,S015 ,C0031,6,431.05,0%,2586.3 USD,online 
05/01/2023,p045,S005 ,C0071,2,427.84,0%,855.68 USD,Wholesale
04/06/2023,p019,S031 ,C0048,5,238.7,0%,$1193.50,in-store
16/10/2023,p092,S027 ,C0030,2,366.95,10%,$660.51,web
30/11/2023,p044,S029 ,C0007,5,64.5,5%,306.38 USD,online 
25/01/2023,p051,S045 ,C0089,1,394.03,0%,$394.03,in-store
15/07/2023,p072,S017 ,C0060,5,34.05,10%,$153.22,web
11/06/2023,p003,S039 ,C0011,4,154.34,5%,€586.49,web
09/08/2023,p036,S023 ,C0087,6,317.02,15%,1616.8 USD,Wholesale
02/03/2023,p045,S028 ,C0065,3,160.5,0%,$481.50,in-store
20/07/2023,p008,S030 ,C0046,2,409.61,15%,$696.34,Wholesale
"Aug 21, 2023",p046,S025 ,C0061,3,62.77,0%,€188.31,in-store
"Dec 14, 2023",p077,S022 ,C0023,1,249.84,0%,$249.84,online 
2023-12-15,p024,S045 ,C0025,2,183.99,5%,349.58 USD,Wholesale
"Sep 21, 2023",p049,S042 ,C0035,3,449.84,5%,1282.04 USD,web
05/06/2023,p013,S034 ,C0063,8,275.48,0%,$2203.84,Wholesale
26/02/2023,p071,S001 ,C0075,5,292.52,0%,$1462.60,in-store
19/05/2023,p053,S018 ,C0054,3,107.4,5%,€306.09,in-store
17/07/2023,p006,S006 ,C0058,6,54.08,15%,€275.81,online 
2023-06-14,p059,S022 ,C0046,8,313.12,5%,2379.71 USD,in-store
18/02/2023,p095,S046 ,C0044,7,83.25,5%,$553.61,Wholesale
02/05/2023,p053,S005 ,C0003,7,243.65,15%,€1449.72,Wholesale
"Oct 13, 2023",p017,S015 ,C0005,3,206.2,10%,556.74 USD,Wholesale
2023-05-10,p021,S013 ,C0012,2,284.86,0%,569.72 USD,in-store
"Jun 03, 2023",p045,S034 ,C0043,3,418.74,0%,$1256.22,web
"Sep 18, 2023",p034,S023 ,C0084,2,172.43,0%,$344.86,web
15/12/2023,p040,S023 ,C0065,1,252.4,0%,€252.4,in-store
2023-03-11,p011,S047 ,C0073,1,142.46,0%,$142.46,online 
2023-10-07,p095,S047 ,C0087,3,166.22,5%,473.73 USD,in-store
"Feb 16, 2023",p064,S017 ,C0021,6,201.6,5%,$1149.12,online 
17/11/2023,p021,S015 ,C0095,3,357.62,0%,1072.86 USD,in-store
"Dec 20, 2023",p062,S034 ,C0091,3,293.56,0%,€880.68,Wholesale
19/02/2023,p073,S036 ,C0047,8,287.34,10%,€2068.85,in-store
"Feb 12, 2023",p056,S030 ,C0014,8,113.73,5%,€864.35,online 
2023-12-25,p090,S034 ,C0094,6,139.04,0%,834.24 USD,online 
27/02/2023,p074,S026 ,C0043,4,487.37,15%,1657.06 USD,online 
"Dec 18, 2023",p087,S019 ,C0097,1,273.88,10%,$246.49,in-store
09/10/2023,p096,S003 ,C0060,2,485.26,15%,€824.94,web
28/08/2023,p071,S037 ,C0054,6,175.0,10%,945.0 USD,Wholesale
"Jul 06, 2023",p013,S004 ,C0064,7,247.05,10%,$1556.42,Wholesale
01/04/2023,p097,S032 ,C0087,3,326.18,10%,$880.69,Wholesale
2023-08-07,p018,S025 ,C0099,7,474.35,0%,$3320.45,web
2023-08-04,p053,S027 ,C0012,2,63.22,0%,126.44 USD,online 
"Feb 10, 2023",p012,S013 ,C0034,1,174.04,15%,$147.93,online 
2023-10-09,p070,S049 ,C0037,7,116.27,5%,773.2 USD,online 
2023-04-01,p020,S045 ,C0039,6,191.78,15%,978.08 USD,Wholesale
"Apr 25, 2023",p056,S043 ,C0081,2,375.87,5%,714.15 USD,web
"Dec 27, 2023",p092,S032 ,C0091,5,466.25,0%,2331.25 USD,Wholesale
2023-09-21,p001,S041 ,C0032,6,495.12,10%,€2673.65,web
"Jun 14, 2023",p058,S046 ,C0034,2,303.58,15%,€516.09,Wholesale
"Jun 06, 2023",p057,S043 ,C0082,1,305.57,5%,€290.29,Wholesale
"Feb 02, 2023",p064,S005 ,C0033,1,129.83,5%,€123.34,in-store
01/05/2023,p016,S015 ,C0009,3,146.97,10%,$396.82,in-store
08/09/2023,p081,S048 ,C0094,1,102.6,5%,€97.47,Wholesale
"Oct 09, 2023",p091,S024 ,C0043,6,471.17,15%,€2402.97,online 
2023-07-07,p052,S035 ,C0015,3,330.84,5%,$942.89,online 
09/01/2023,p058,S016 ,C0033,7,188.54,10%,€1187.8,web
05/06/2023,p004,S024 ,C0072,2,117.94,5%,€224.09,online 
"Sep 23, 2023",p037,S040 ,C0075,7,200.07,10%,€1260.44,online 
"Apr 19, 2023",p035,S026 ,C0046,3,448.92,10%,$1212.08,Wholesale
2023-04-12,p012,S021 ,C0008,2,82.89,5%,157.49 USD,in-store
"Jun 03, 2023",p008,S050 ,C0065,2,67.61,10%,€121.7,in-store
2023-09-01,p035,S006 ,C0020,7,491.32,15%,2923.35 USD,web
2023-09-10,p057,S040 ,C0066,4,433.87,15%,€1475.16,online 
23/10/2023,p027,S037 ,C0085,8,315.01,0%,2520.08 USD,web
21/08/2023,p042,S008 ,C0078,5,461.42,10%,2076.39 USD,online 
"Jan 29, 2023",p082,S028 ,C0003,8,332.26,5%,2525.18 USD,in-store
2023-12-28,p040,S028 ,C0029,1,154.04,10%,138.64 USD,web
"Dec 05, 2023",p029,S043 ,C0038,7,421.56,10%,2655.83 USD,online 
30/09/2023,p031,S001 ,C0056,8,143.42,15%,€975.26,online 
"May 11, 2023",p021,S025 ,C0038,7,405.93,5%,€2699.43,in-store
"May 12, 2023",p001,S010 ,C0007,2,488.15,15%,€829.85,web
2023-02-11,p025,S001 ,C0094,3,163.24,0%,489.72 USD,Wholesale
27/04/2023,p037,S050 ,C0027,3,278.71,10%,752.52 USD,web
"Feb 06, 2023",p061,S029 ,C0087,6,59.77,10%,322.76 USD,Wholesale
29/01/2023,p029,S021 ,C0003,6,218.85,5%,$1247.44,web
"May 24, 2023",p076,S047 ,C0046,5,407.13,5%,€1933.87,Wholesale
28/05/2023,p078,S029 ,C0013,1,53.65,5%,50.97 USD,online 
"Dec 04, 2023",p044,S050 ,C0090,5,336.51,5%,€1598.42,online 
"Feb 20, 2023",p090,S039 ,C0043,7,45.98,0%,€321.86,Wholesale
2023-07-29,p037,S042 ,C0068,1,370.12,5%,$351.61,in-store
24/02/2023,p071,S016 ,C0061,2,305.28,10%,549.5 USD,Wholesale
"Sep 10, 2023",p070,S047 ,C0062,6,205.18,5%,€1169.53,Wholesale
06/03/2023,p053,S013 ,C0097,1,417.36,15%,354.76 USD,Wholesale
26/08/2023,p066,S027 ,C0096,3,116.3,10%,€314.01,web
2023-05-09,p024,S021 ,C0086,3,479.96,5%,1367.89 USD,Wholesale
01/06/2023,p066,S034 ,C0078,5,296.8,10%,€1335.6,online 
"May 29, 2023",p001,S018 ,C0018,3,348.71,0%,€1046.13,in-store
01/04/2023,p004,S042 ,C0013,4,233.59,0%,934.36 USD,online 
"Mar 02, 2023",p095,S038 ,C0029,2,415.45,10%,€747.81,Wholesale
2023-10-26,p094,S039 ,C0077,3,151.46,0%,€454.38,web
"May 05, 2023",p066,S032 ,C0051,6,194.51,0%,€1167.06,Wholesale
2023-02-18,p070,S012 ,C0095,4,468.67,15%,1593.48 USD,web
21/02/2023,p034,S017 ,C0065,6,356.73,15%,1819.32 USD,Wholesale
27/06/2023,p080,S035 ,C0054,7,497.21,15%,$2958.40,Wholesale
27/06/2023,p017,S045 ,C0056,3,361.57,5%,$1030.47,online 
"Jan 26, 2023",p022,S045 ,C0037,7,491.48,10%,€3096.32,in-store
19/01/2023,p018,S035 ,C0064,4,240.74,5%,€914.81,Wholesale
2023-11-16,p025,S049 ,C0054,8,145.42,15%,$988.86,web
27/11/2023,p096,S033 ,C0036,3,243.61,5%,€694.29,Wholesale
2023-07-17,p089,S013 ,C0085,3,136.85,5%,390.02 USD,in-store
"Aug 10, 2023",p083,S032 ,C0066,3,147.51,15%,376.15 USD,Wholesale
"Jan 21, 2023",p075,S048 ,C0075,5,96.28,5%,$457.33,Wholesale
2023-11-27,p051,S011 ,C0032,7,316.59,5%,2105.32 USD,Wholesale
2023-11-28,p005,S010 ,C0049,4,389.8,15%,1325.32 USD,online 
2023-08-23,p090,S036 ,C0089,4,82.23,10%,296.03 USD,in-store
2023-05-30,p021,S032 ,C0055,8,220.58,0%,1764.64 USD,in-store
"Feb 22, 2023",p089,S035 ,C0082,6,326.53,0%,$1959.18,in-store
